metricID,theme,responseOpt,dataVizType,metricname,,,,,,,,,,,,,,
1,Finances,Total revenue,quantSingle,TotRev_clean,,,,,,,,,,,,,,
2,Finances,Total expenses,quantSingle,TotExp,,,,,,,,,,,,,,
3,Finances,Cash reserves,quantSingle,Reserves_Est,,,,,,,,,,,,,,
4,Finances,"Drew on cash reserves, did not draw on cash reserves",portionSingle,FinanceChng_Reserves,,,,,,,,,,,,,,
5,Finances,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FinanceChng_TotExp,,,,,,,,,,,,,,
6,Finances,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FinanceChng_Salaries,,,,,,,,,,,,,,
7,Finances,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FinanceChng_Benefits,,,,,,,,,,,,,,
8,Finances,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FinanceChng_TotRent,,,,,,,,,,,,,,
9,Finances,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,FinanceChng_TotTech,,,,,,,,,,,,,,
10,Populations served,"Served local, Did not serve local",portionSingle,GeoAreas_ServedLocal,,,,,,,,,,,,,,
11,Populations served,"Served state-wide, Did not serve state-wide",portionSingle,GeoAreas_State,,,,,,,,,,,,,,
12,Populations served,"Served multi state, Did not serve multi state",portionSingle,GeoAreas_Servedmultistate,,,,,,,,,,,,,,
13,Populations served,"Served national, Did not serve national",portionSingle,GeoAreas_National,,,,,,,,,,,,,,
14,Populations served,"Served international, Did not serve international",portionSingle,GeoAreas_International,,,,,,,,,,,,,,
15,Populations served,"Served families and individuals in poverty, Did not serve families and individuals in poverty",portionSingle,ProgDem_BelowFPL,,,,,,,,,,,,,,
16,Populations served,"Served individuals with physical or cognitive disabilities, Did not serve individuals with physical or cognitive disabilities",portionSingle,ProgDem_Disabled,,,,,,,,,,,,,,
17,Populations served,"Served veterans, Did not serve veterans",portionSingle,ProgDem_Veterans,,,,,,,,,,,,,,
18,Populations served,"Served LGBTQ+ , Did not serve LGBTQ+",portionSingle,ProgDem_LGBTQ,,,,,,,,,,,,,,
19,Populations served,"Served foreign born population, Did not serve foreign born populations",portionSingle,ProgDem_Foreign,,,,,,,,,,,,,,
20,Populations served,"Served Latinx/Hispanic/Hispanic Origin, Did not serve Latinx/Hispanic/Hispanic Origin",portionSingle,ProgDem_Latinx,,,,,,,,,,,,,,
21,Populations served,"Served Black/African American, Did not serve Black/African American",portionSingle,ProgDem_Black,,,,,,,,,,,,,,
22,Populations served,"Served indigenous/Native American/Native Alaskan, Did not serve indigenous/Native American/Native Alaskan",portionSingle,ProgDem_Indigenous,,,,,,,,,,,,,,
23,Populations served,"Served Asian/Native Hawaiian/other Pacific Islander, Did not serve Asian/Native Hawaiian/other Pacific Islander",portionSingle,ProgDem_Asian,,,,,,,,,,,,,,
24,Populations served,"Served men/boys, Did not serve men/boys",portionSingle,ProgDem_Men,,,,,,,,,,,,,,
26,Populations served,"Served women/girls, Did not serve women/girls",portionSingle,ProgDem_Women,,,,,,,,,,,,,,
28,Populations served,"Served individuals of non-binary gender, Did not serve individuals of non-binary gender",portionSingle,ProgDem_Nonbinary,,,,,,,,,,,,,,
29,Populations served,"Served children and youth, Did not serve children and youth",portionSingle,ProgDem_Children,,,,,,,,,,,,,,
30,Populations served,"Served young adults, Did not serve young adults",portionSingle,ProgDem_YoungAdults,,,,,,,,,,,,,,
31,Populations served,"Served adults, Did not serve adults",portionSingle,ProgDem_Adults,,,,,,,,,,,,,,
32,Populations served,"Served seniors, Did not serve seniors",portionSingle,ProgDem_Elders,,,,,,,,,,,,,,
33,Programs and Services,"Met demand, Did not meet demand",portionSingle,PplSrv_NumWait,,,,,,,,,,,,,,
34,Programs and Services,"Experiencing, Not experiencing",portionSingle,PrgSrvc_Suspend,,,,,,,,,,,,,,
35,Programs and Services,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,PrgSrvc_Amt_Srvc,,,,,,,,,,,,,,
36,Programs and Services,"Significant decrease, Decrease, No change, Increase, Significant increase",portionMultipleChoice,PrgSrvc_Amt_Num,,,,,,,,,,,,,,
37,Programs and Services,"Anticipated increase, No change, Anticipated decrease",portionMultipleChoice,Dmnd_NxtYear,,,,,,,,,,,,,,
38,Sources of Revenue,Individual donations,quantSingle,PercentDon_Tot,,,,,,,,,,,,,,
39,Sources of Revenue,<$250,quantSingle,FndRaise_DnrBlw250_ratio,,,,,,,,,,,,,,
40,Sources of Revenue,>=$250,quantSingle,FndRaise_DnrAbv250_ratio,,,,,,,,,,,,,,
41,Sources of Revenue,Donor advised funds,quantSingle,PercentDAF_Tot,,,,,,,,,,,,,,
42,Sources of Revenue,Private foundations,quantSingle,PercentPriv_Tot,,,,,,,,,,,,,,
43,Sources of Revenue,Corporate foundations or giving programs,quantSingle,PercentCorp_Tot,,,,,,,,,,,,,,
44,Sources of Revenue,Gov’t,quantSingle,PercentGov,,,,,,,,,,,,,,
45,Sources of Revenue,Earned Revenue,quantSingle,PercentEarned,,,,,,,,,,,,,,
46,Sources of Revenue,"Received, Did not receive",portionSingle,FndRaise_DAF_Rcv,,,,,,,,,,,,,,
47,Sources of Revenue,"Received, Did not receive",portionSingle,FndRaise_PFGrnt_Rcv,,,,,,,,,,,,,,
