BuildTs,DAF,DateSigned,DocStatus,EIN,FileSha256,FileSizeBytes,FormType,GrossReceipts,GroupAffiliatesIncluded,GroupExemptionNumber,GroupReturnForAffiliates,IndexedOn,LegalDomicileCountry,LegalDomicileState,ObjectId,OrgType,OrganizationName,ReturnTs,ReturnVersion,SubmittedOn,TaxPeriod,TaxPeriodBeginDate,TaxPeriodEndDate,TaxStatus,TaxYear,TotalAssetsBkEOY,TotalExpensesCY,TotalLiabilitiesBkEOY,TotalNetAssetsBkEOY,TotalRevenueCY,URL,Website,YearFormed,ZipFile
2025-03-06T01:10:19Z,FALSE,2025-03-18,"",820593919,62f56351c657f9f1e7e155d37d80cbd3c19314d3deeb98ea3e4a99232f5be6df,32476,990,855476,,,FALSE,2025-04-24,"",ID,202500779349300720,Corp,UPRIVER YOUTH LEADERSHIP COUNCIL INC,2025-03-18T22:00:38Z,2024v5.0,2025-03-18,2024-12-31,2024-01-01,2024-12-31,501c3,2024,38274,965307,18557,19717,854892,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500779349300720_public.xml,www.upriveryouth.org,2017,
2025-03-06T01:10:19Z,FALSE,2025-01-24,"",461742986,74ea75756416b701d44db9509adb4dcd73d05aa96facbbcf57edd58641d344c9,29403,990,203446,,,FALSE,2025-04-24,"",TN,202500319349301500,Corp,KYMARI HOUSE INC,2025-01-31T15:30:10Z,2024v5.0,2025-01-24,2024-12-31,2024-01-01,2024-12-31,501c3,2024,27188,200937,758,26430,192591,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500319349301500_public.xml,WWW.KYMARIHOUSE.ORG,2012,
2025-03-06T01:10:19Z,FALSE,2025-03-15,"",880256088,670cb4d6b73a2b5ace56bd3d17d188774418cc0cff9ad9e7477241382def5cd0,19536,990,460055,,,FALSE,2025-04-24,"",NV,202520579349301772,Corp,GREEN UP,2025-02-21T19:12:28Z,2024v5.0,2025-03-15,2024-12-31,2024-01-01,2024-12-31,501c3,2024,220541,318468,78569,141972,460055,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202520579349301772_public.xml,"",1990,
2025-03-06T01:10:19Z,FALSE,2025-03-06,"",830769464,86a12b5067c85d72e0bd3bb51793c60780f327ae74413dbe690fa883a7e9c014,11811,990EZ,,,,,2025-04-24,"","",202540659349201624,Corp,FREED SPIRITS ANIMAL RESCUE,2025-03-07T01:09:14Z,2024v5.0,2025-03-06,2024-12-31,2024-01-01,2024-12-31,501c3,2024,71974,94604,0,71974,131835,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202540659349201624_public.xml,HTTPS://WWW.FREEDSPIRITSANIMALRESCUE.ORG,,
2025-03-06T01:10:19Z,FALSE,2025-01-30,"",822638878,fb92420df5eba015d4239123e5d1f5ef01d5c77358d2811209073a46c38949dc,20328,990,288596,,,FALSE,2025-04-24,"",OK,202500349349302055,Other,OUR NEIGHBORS CUPBOARD INC,2025-02-03T22:29:05Z,2024v5.0,2025-01-30,2024-12-31,2024-01-01,2024-12-31,501c3,2024,289454,125034,0,289454,288596,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500349349302055_public.xml,"",2017,
2025-03-06T01:10:19Z,FALSE,2025-03-17,"",421207293,f1cb43795ffa8cb222f17517b7a3c2b08a5cb5ed607b9f7ef1ea7c179f33359d,16065,990EZ,,,,,2025-04-24,"","",202530769349201548,Corp,MADRID HISTORICAL SOCIETY,2025-03-17T18:37:02Z,2024v5.0,2025-03-17,2024-12-31,2024-01-01,2024-12-31,501c3,2024,423041,60859,0,423041,111698,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202530769349201548_public.xml,madridiamuseum.com,,
2025-03-06T01:10:19Z,FALSE,2025-02-03,"",273011035,8113df331e4bb2bff685290b07a0e14dc287b8a09f27098665a42903a983c8e8,12663,990EZ,,,,,2025-04-24,"","",202500389349200115,Corp,SAVE-A-BULL RESCUE,2025-02-07T22:18:45Z,2024v5.0,2025-02-03,2024-12-31,2024-01-01,2024-12-31,501c3,2024,295631,100673,10333,285298,110676,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202500389349200115_public.xml,SAVEABULLMN.ORG,,
2025-03-06T01:10:19Z,FALSE,2025-03-12,AddressChange,201944356,1169e2c5776984325ac54f00d493c114793564c39eaea405d5408310fe00ee78,34088,990,158334,,,FALSE,2025-04-24,"",CO,202520719349301742,Trust,CHRISTMAS COMMANDOS,2025-03-12T22:50:06Z,2024v5.0,2025-03-12,2024-12-31,2024-01-01,2024-12-31,501c3,2024,136759,95029,0,136759,158334,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202520719349301742_public.xml,"",2004,
2025-03-06T01:10:19Z,FALSE,2025-02-23,"",842056455,891b5fc902857e1e6064cec0a70368952a008e150efe24dbf9df2529c0c08edd,35796,990,654098,,,FALSE,2025-04-24,"",AZ,202540799349301144,Corp,WHEEL FUN,2025-03-20T17:34:19Z,2024v5.0,2025-02-23,2024-12-31,2024-01-01,2024-12-31,501c3,2024,196333,643755,3404,192929,654098,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202540799349301144_public.xml,www.wheelfun.org,2019,
2025-03-06T01:10:19Z,FALSE,2025-03-16,AddressChange,562452765,268285a3d11251b97b8bb56102f2b15fc151e7ca6440cf17dda8633cec4d4389,16255,990EZ,,,,,2025-04-24,"","",202530759349200223,Corp,MILDREDS UMBRELLA THEATER COMPANY,2025-03-17T02:12:13Z,2024v5.0,2025-03-16,2025-01-31,2024-02-01,2025-01-31,501c3,2024,13914,50887,,13914,49796,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202530759349200223_public.xml,mildredsumbrella.com,,
