"","qname","group_x","group_n","group","group_levels","description","main","sub"
"1","StartDate","",1,"StartDate",NA,"Start Date","Start Date",""
"2","EndDate","",1,"EndDate",NA,"End Date","End Date",""
"3","Status...3","",1,"Status...3",NA,"Response Type","Response Type",""
"4","IPAddress","",1,"IPAddress",NA,"IP Address","IP Address",""
"5","Progress","",1,"Progress",NA,"Progress","Progress",""
"6","Duration (in seconds)","",1,"Duration (in seconds)",NA,"Duration (in seconds)","Duration (in seconds)",""
"7","Finished","",1,"Finished",NA,"Finished","Finished",""
"8","RecordedDate","",1,"RecordedDate",NA,"Recorded Date","Recorded Date",""
"9","ResponseId","",1,"ResponseId",NA,"Response ID","Response ID",""
"10","RecipientLastName","",1,"RecipientLastName",NA,"Recipient Last Name","Recipient Last Name",""
"11","RecipientFirstName","",1,"RecipientFirstName",NA,"Recipient First Name","Recipient First Name",""
"12","RecipientEmail","",1,"RecipientEmail",NA,"Recipient Email","Recipient Email",""
"13","ExternalReference","",1,"ExternalReference",NA,"External Data Reference","External Data Reference",""
"14","LocationLatitude","",1,"LocationLatitude",NA,"Location Latitude","Location Latitude",""
"15","LocationLongitude","",1,"LocationLongitude",NA,"Location Longitude","Location Longitude",""
"16","DistributionChannel","",1,"DistributionChannel",NA,"Distribution Channel","Distribution Channel",""
"17","UserLanguage","",1,"UserLanguage",NA,"User Language","User Language",""
"18","Enter","",1,"Enter",NA,"Please click “Yes” to enter the survey. Remember you can fill out part of the survey now and then come back later if needed.   Please click “No” if you do not agree to participate in the survey and you want your organization’s name removed from our project list. You will be exited from the survey and your organization will not be sent additional emails seeking your participation. If you are not sure about participating, please send us an email at NPSurvey@urban.org to ask your questions or ask us to give you call.","Please click “Yes” to enter the survey. Remember you can fill out part of the survey now and then come back later if needed.   Please click “No” if you do not agree to participate in the survey and you want your organization’s name removed from our project list. You will be exited from the survey and your organization will not be sent additional emails seeking your participation. If you are not sure about participating, please send us an email at NPSurvey@urban.org to ask your questions or ask us to give you call.",""
"19","Q125_First Click","X",4,"Q125","First Click","Timing - First Click","Timing","First Click"
"20","Q125_Last Click","X",4,"Q125","Last Click","Timing - Last Click","Timing","Last Click"
"21","Q125_Page Submit","X",4,"Q125","Page Submit","Timing - Page Submit","Timing","Page Submit"
"22","Q125_Click Count","X",4,"Q125","Click Count","Timing - Click Count","Timing","Click Count"
"23","Name","X",2,"Name","Selected Choice","GENERAL QUESTIONS      1. Can you confirm this is the correct name of your organization?     Organization Name: [Field-LastName_Y2_Updated] - Selected Choice","GENERAL QUESTIONS      1. Can you confirm this is the correct name of your organization?     Organization Name: [Field-LastName_Y2_Updated]","Selected Choice"
"24","Name_0_TEXT","X",2,"Name","No, please provide the correct name of your organization: - Text","GENERAL QUESTIONS      1. Can you confirm this is the correct name of your organization?     Organization Name: [Field-LastName_Y2_Updated] - No, please provide the correct name of your organization: - Text","GENERAL QUESTIONS      1. Can you confirm this is the correct name of your organization?     Organization Name: [Field-LastName_Y2_Updated]","No, please provide the correct name of your organization: - Text"
"25","Q126_First Click","X",4,"Q126","First Click","Timing - First Click","Timing","First Click"
"26","Q126_Last Click","X",4,"Q126","Last Click","Timing - Last Click","Timing","Last Click"
"27","Q126_Page Submit","X",4,"Q126","Page Submit","Timing - Page Submit","Timing","Page Submit"
"28","Q126_Click Count","X",4,"Q126","Click Count","Timing - Click Count","Timing","Click Count"
"29","MainAddress_1","X",3,"MainAddress","Street Address (or Location Name, such as if you operate out of a school, park, or other location)","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address. - Street Address (or Location Name, such as if you operate out of a school, park, or other location)","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address.","Street Address (or Location Name, such as if you operate out of a school, park, or other location)"
"30","MainAddress_2","X",3,"MainAddress","City and State","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address. - City and State","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address.","City and State"
"31","MainAddress_4","X",3,"MainAddress","ZIP Code","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address. - ZIP Code","2. What is the organization's main physical address (i.e., the location where the organization carries out its main activities)? Note: if your organization has multiple addresses, please list the address that you would consider to be your headquarters or main address.","ZIP Code"
"32","ProgChanges_1","X",15,"ProgChanges","Increased the number of programs or services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Increased the number of programs or services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Increased the number of programs or services"
"33","ProgChanges_2","X",15,"ProgChanges","Reduced the number of programs or services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Reduced the number of programs or services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Reduced the number of programs or services"
"34","ProgChanges_3","X",15,"ProgChanges","Suspended or paused services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Suspended or paused services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Suspended or paused services"
"35","ProgChanges_4","X",15,"ProgChanges","Increased the number of people served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Increased the number of people served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Increased the number of people served"
"36","ProgChanges_5","X",15,"ProgChanges","Reduced the number of people served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Reduced the number of people served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Reduced the number of people served"
"37","ProgChanges_6","X",15,"ProgChanges","Opened new offices or program sites","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Opened new offices or program sites","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Opened new offices or program sites"
"38","ProgChanges_7","X",15,"ProgChanges","Closed offices or program sites","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Closed offices or program sites","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Closed offices or program sites"
"39","ProgChanges_8","X",15,"ProgChanges","Increased the geographic areas you served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Increased the geographic areas you served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Increased the geographic areas you served"
"40","ProgChanges_9","X",15,"ProgChanges","Reduced the geographic areas you served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Reduced the geographic areas you served","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Reduced the geographic areas you served"
"41","ProgChanges_10","X",15,"ProgChanges","Increased program fees","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Increased program fees","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Increased program fees"
"42","ProgChanges_11","X",15,"ProgChanges","Reduced program fees","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Reduced program fees","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Reduced program fees"
"43","ProgChanges_12","X",15,"ProgChanges","Shifted existing services to remote, online services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Shifted existing services to remote, online services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Shifted existing services to remote, online services"
"44","ProgChanges_13","X",15,"ProgChanges","Added new remote, online services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020? - Added new remote, online services","3. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Programs, as compared to 2020?","Added new remote, online services"
